DATE,CLOSE,OPEN,VWAP,LOW,HIGH,NO OF TRADES
10/01/2020,332.25,331.0,333.63,328.1,337.95,247022
13/01/2020,330.75,334.0,331.73,329.05,335.45,156310
14/01/2020,328.0,329.8,328.53,326.5,331.7,170473
15/01/2020,324.25,329.0,324.3,322.35,329.2,243663
16/01/2020,323.3,324.0,324.48,322.35,326.9,182806
17/01/2020,318.0,313.0,317.9,310.1,323.5,290272
20/01/2020,314.0,321.0,315.92,313.4,321.45,194552
21/01/2020,313.7,313.8,314.33,312.0,316.95,195704
22/01/2020,316.15,317.0,315.3,313.7,317.0,154068
23/01/2020,323.2,316.0,320.25,314.15,324.8,227748
24/01/2020,324.05,323.5,325.15,321.15,327.3,146667
27/01/2020,316.2,320.9,318.82,315.8,322.0,148768
28/01/2020,315.1,317.95,316.67,311.05,320.0,173879
29/01/2020,316.45,317.85,317.75,315.55,319.7,143297
30/01/2020,310.7,316.75,311.18,305.65,316.75,227687
31/01/2020,318.45,313.7,316.25,308.6,321.7,457787
01/02/2020,302.6,317.95,313.18,296.3,322.65,402634
03/02/2020,298.1,303.0,300.62,295.35,306.85,340547
04/02/2020,306.25,302.9,303.37,297.1,307.55,275826
05/02/2020,311.0,306.9,309.09,304.6,313.65,193574
06/02/2020,321.95,311.2,318.1,310.1,323.5,307485
07/02/2020,320.55,321.5,322.0,318.4,325.0,206969
10/02/2020,318.5,319.8,318.8,316.5,322.8,152107
11/02/2020,324.35,321.05,323.44,321.05,325.8,203738
12/02/2020,320.2,329.9,323.8,319.25,329.9,212834
13/02/2020,327.45,322.0,327.78,322.0,330.95,345413
14/02/2020,319.4,328.1,324.61,318.55,331.9,260920
17/02/2020,314.2,320.95,314.88,311.65,321.15,244850
18/02/2020,317.55,315.4,313.46,309.4,319.2,226792
19/02/2020,320.35,322.3,320.2,317.25,324.0,229162
19/02/2020,320.35,322.3,320.2,317.25,324.0,229162
19/02/2020,320.35,322.3,320.2,317.25,324.0,229162
19/02/2020,320.35,322.3,320.2,317.25,324.0,229162
19/02/2020,320.35,322.3,320.2,317.25,324.0,229162
19/02/2020,320.35,322.3,320.2,317.25,324.0,229162
20/02/2020,327.65,319.35,325.2,318.75,329.2,261607
24/02/2020,322.95,325.75,326.73,321.85,331.3,268314
25/02/2020,326.8,325.9,325.65,322.2,328.15,236225
26/02/2020,328.2,324.85,327.58,324.2,330.8,237750
27/02/2020,321.95,328.0,322.89,318.0,330.0,254847
28/02/2020,303.0,312.0,308.09,301.1,314.65,332224
02/03/2020,287.4,311.0,300.12,284.05,312.0,374435
03/03/2020,289.85,293.0,289.46,285.3,294.4,351083
03/03/2020,289.85,293.0,289.46,285.3,294.4,351083
03/03/2020,289.85,293.0,289.46,285.3,294.4,351083
03/03/2020,289.85,293.0,289.46,285.3,294.4,351083
03/03/2020,289.85,293.0,289.46,285.3,294.4,351083
04/03/2020,285.3,291.8,283.13,275.1,293.0,369109
04/03/2020,285.3,291.8,283.13,275.1,293.0,369109
04/03/2020,285.3,291.8,283.13,275.1,293.0,369109
04/03/2020,285.3,291.8,283.13,275.1,293.0,369109
04/03/2020,285.3,291.8,283.13,275.1,293.0,369109
04/03/2020,285.3,291.8,283.13,275.1,293.0,369109
05/03/2020,288.5,290.9,286.17,270.0,298.4,705570
06/03/2020,270.5,268.0,268.89,253.95,274.4,538814
09/03/2020,253.45,260.05,256.54,251.15,262.75,539589
11/03/2020,245.1,253.0,250.69,243.1,258.5,473850
12/03/2020,212.6,231.9,220.65,208.6,231.9,582694
13/03/2020,242.0,200.0,226.87,184.65,248.8,908228
16/03/2020,223.35,227.9,225.85,220.6,231.4,520840
17/03/2020,215.15,227.2,223.23,212.05,229.9,437283
18/03/2020,215.2,221.0,209.42,200.1,223.15,627917
19/03/2020,203.65,202.95,207.44,198.15,219.75,617960
20/03/2020,209.85,205.55,208.91,200.0,215.7,470053
23/03/2020,181.6,190.0,186.66,180.25,199.5,613264
24/03/2020,183.2,190.95,183.93,173.55,191.95,512638
25/03/2020,189.9,178.0,185.5,176.45,195.25,512710
26/03/2020,192.75,191.55,193.7,185.1,201.0,622633
27/03/2020,195.95,202.0,202.07,195.0,211.9,777296
30/03/2020,186.9,190.0,190.76,186.25,195.0,438701
31/03/2020,196.85,192.0,193.17,188.05,198.5,402063
01/04/2020,186.55,194.0,188.22,185.25,194.5,400004
03/04/2020,175.5,187.55,178.56,175.0,188.2,589657
07/04/2020,186.4,184.4,182.25,177.6,187.3,486914
08/04/2020,183.0,182.9,186.6,180.45,194.4,501541
09/04/2020,187.75,188.0,187.2,183.6,190.0,366071
13/04/2020,183.5,186.8,184.91,183.1,188.7,290728
15/04/2020,182.35,187.0,186.79,180.15,191.95,434961
16/04/2020,188.5,182.0,185.39,180.25,189.9,355374
17/04/2020,193.25,196.0,191.2,186.3,198.0,490326
20/04/2020,192.5,194.0,193.79,190.05,197.35,443580
21/04/2020,184.75,188.0,185.45,183.0,188.2,312425
22/04/2020,188.7,185.5,185.69,181.35,189.5,330480
23/04/2020,186.7,187.75,187.59,185.15,189.9,293810
24/04/2020,179.75,184.0,181.25,179.0,184.0,416448
27/04/2020,180.9,183.5,181.89,180.5,183.5,228810
28/04/2020,184.3,182.0,183.38,181.2,185.35,224161
29/04/2020,190.1,185.0,187.61,183.5,191.8,310886
30/04/2020,190.5,193.5,193.16,189.7,195.9,366664
04/05/2020,178.85,182.45,179.95,178.0,183.5,488730
05/05/2020,170.4,181.0,174.56,168.8,181.25,637656
06/05/2020,171.1,171.15,170.24,166.55,173.3,446943
07/05/2020,170.75,170.85,170.58,168.8,172.55,270188
08/05/2020,166.65,172.45,169.16,166.1,173.8,387275
11/05/2020,165.45,167.95,166.54,165.0,168.9,358472
12/05/2020,166.9,164.2,163.7,160.85,168.5,412383
13/05/2020,174.1,178.55,174.09,170.5,178.55,409330
14/05/2020,167.95,170.95,169.36,167.5,171.75,277659
15/05/2020,166.4,167.95,166.17,164.7,168.25,225551
18/05/2020,155.3,166.4,157.74,155.0,166.4,585750
19/05/2020,152.8,157.5,154.9,152.4,157.85,402913
20/05/2020,153.4,153.0,152.99,151.15,155.25,339861
21/05/2020,151.95,153.65,154.02,151.5,156.15,358655
22/05/2020,150.85,152.0,151.9,149.45,155.6,485367
26/05/2020,151.4,152.4,151.82,150.2,153.2,248836
27/05/2020,158.6,151.95,155.74,150.8,160.8,380745
28/05/2020,158.2,159.45,159.38,156.7,162.4,364211
29/05/2020,161.3,156.1,159.32,155.2,161.9,291350
01/06/2020,170.05,164.0,168.77,163.35,171.4,437760
02/06/2020,170.25,169.9,169.27,167.2,171.3,325940
03/06/2020,174.9,172.5,176.2,172.0,179.9,539428
04/06/2020,174.05,174.9,174.31,171.5,177.65,384768
05/06/2020,187.8,176.55,182.62,176.0,189.8,858150
08/06/2020,186.8,197.0,191.97,185.8,197.5,727718
09/06/2020,184.45,187.7,187.15,183.35,191.0,462962
10/06/2020,187.7,184.55,186.08,183.8,189.0,330207
11/06/2020,177.15,188.0,183.03,176.35,190.4,478372
12/06/2020,179.15,170.0,174.57,169.8,180.0,424338
15/06/2020,173.7,177.85,174.05,172.0,177.85,314930
16/06/2020,172.9,178.0,174.16,169.4,178.95,295248
17/06/2020,172.95,171.0,173.19,169.25,176.2,337640
18/06/2020,179.65,172.4,176.37,171.1,180.65,274070
19/06/2020,184.5,180.3,182.93,179.5,184.95,324544
22/06/2020,187.7,185.0,188.68,184.25,191.75,412445
23/06/2020,192.45,189.6,191.05,187.85,193.1,318473
24/06/2020,184.6,194.8,189.87,183.9,194.9,374457
25/06/2020,185.25,182.2,184.27,180.4,186.8,337252
26/06/2020,184.6,188.0,185.69,183.8,188.6,213443
29/06/2020,179.25,183.0,179.99,178.5,183.1,268482
30/06/2020,178.45,181.1,179.88,177.25,182.9,211383
01/07/2020,184.8,179.45,182.86,178.6,185.4,248849
02/07/2020,185.45,185.65,186.13,184.0,188.0,251208
03/07/2020,184.7,186.65,184.82,183.4,186.85,169515
06/07/2020,188.05,186.6,188.35,186.15,189.85,215925
07/07/2020,188.6,187.0,186.66,184.05,189.2,245296
08/07/2020,191.9,188.9,194.17,188.4,197.45,620914
09/07/2020,199.1,192.8,196.73,192.55,201.0,394257
10/07/2020,195.6,198.0,198.49,194.8,202.5,501575
13/07/2020,192.7,198.8,194.57,191.6,199.8,271373
14/07/2020,186.05,192.3,187.11,184.6,192.3,308731
15/07/2020,183.8,187.95,186.97,183.0,189.95,257119
16/07/2020,186.25,185.0,184.69,181.65,186.95,222270
17/07/2020,188.2,186.8,186.87,185.0,189.5,214673
20/07/2020,190.75,190.0,191.29,188.75,193.25,232252
21/07/2020,194.4,192.45,194.0,191.5,196.2,274154
22/07/2020,192.0,195.7,192.7,190.1,196.75,265443
23/07/2020,198.25,192.4,195.98,191.15,199.1,303119
24/07/2020,191.95,195.7,192.79,190.65,196.3,277739
27/07/2020,187.15,193.0,188.31,186.5,193.2,253742
28/07/2020,189.45,188.0,188.19,185.75,190.5,218359
29/07/2020,191.2,187.6,192.35,187.0,195.25,310167
30/07/2020,186.55,192.5,189.37,186.05,193.5,231416
31/07/2020,191.45,188.0,191.75,186.7,194.85,567541
03/08/2020,192.25,192.0,192.68,190.05,194.6,308823
04/08/2020,191.6,193.35,191.84,190.5,193.8,176987
05/08/2020,191.45,192.75,193.91,191.0,196.85,271605
06/08/2020,190.95,192.3,192.34,190.25,194.5,239032
07/08/2020,190.65,191.45,190.9,189.55,192.1,186761
10/08/2020,193.8,191.85,194.04,191.7,195.5,217990
11/08/2020,195.05,195.0,195.21,193.75,196.8,187086
12/08/2020,203.3,196.0,201.71,194.6,204.25,635995
13/08/2020,201.9,205.5,203.84,200.75,207.3,298211
14/08/2020,196.5,203.0,199.28,194.6,204.0,263498
17/08/2020,193.1,198.45,193.46,191.5,198.65,278249
18/08/2020,195.1,193.8,193.66,191.7,195.75,215268
19/08/2020,197.05,196.4,198.53,195.9,200.3,265310
20/08/2020,194.75,194.0,194.88,193.25,196.35,193765
21/08/2020,198.4,199.0,199.63,197.65,201.5,304905
24/08/2020,201.45,200.0,200.76,198.6,202.8,250904
25/08/2020,207.95,204.0,206.34,202.7,208.45,475915
26/08/2020,209.85,208.5,208.62,206.15,210.35,304925
27/08/2020,215.65,210.5,214.22,210.5,216.5,450426
28/08/2020,224.85,217.0,222.03,216.8,225.9,420611
31/08/2020,212.0,231.55,219.31,210.35,231.55,562903
01/09/2020,218.1,213.1,215.58,211.2,218.9,330635
02/09/2020,216.25,218.25,214.67,212.3,219.0,224862
03/09/2020,213.15,217.5,214.54,212.3,218.25,195109
04/09/2020,206.6,210.0,208.61,205.9,212.3,261047
07/09/2020,207.9,207.5,207.62,205.4,209.65,185712
08/09/2020,204.05,207.9,206.55,202.9,208.5,168151
09/09/2020,194.85,201.1,195.68,192.5,201.4,414595
10/09/2020,198.15,197.7,198.48,195.2,201.45,305442
11/09/2020,202.7,198.55,199.89,197.0,203.85,233409
14/09/2020,198.5,205.9,201.65,197.35,206.2,299382
15/09/2020,200.15,199.9,199.05,197.1,201.0,193091
16/09/2020,198.2,199.85,198.06,196.25,200.05,348569
17/09/2020,195.45,197.0,196.19,195.0,198.0,297990
18/09/2020,192.6,196.0,193.79,189.7,197.2,263886
21/09/2020,185.8,193.05,188.77,184.25,193.5,311832
22/09/2020,186.2,186.15,185.25,181.15,188.3,278193
23/09/2020,183.8,188.15,184.03,181.0,188.95,233546
24/09/2020,176.35,181.1,178.59,175.5,181.8,286558
25/09/2020,182.2,179.0,179.71,176.15,182.75,213017
28/09/2020,187.25,184.0,186.34,183.35,188.15,195148
29/09/2020,185.05,188.5,185.23,183.25,188.95,146100
30/09/2020,185.4,185.05,184.91,182.4,186.8,159069
01/10/2020,190.3,187.0,189.71,186.9,191.2,195571
05/10/2020,188.75,192.0,190.39,187.05,193.8,184563
06/10/2020,191.6,191.1,190.22,188.3,192.1,161429
07/10/2020,190.7,192.55,190.96,189.1,193.15,150721
08/10/2020,191.5,191.35,193.41,190.55,195.8,203970
09/10/2020,198.3,192.0,195.31,190.55,198.8,277207
12/10/2020,198.7,199.7,201.34,197.25,205.95,331018
13/10/2020,195.7,198.65,197.22,195.1,200.0,182813
14/10/2020,200.05,194.05,196.49,193.05,200.9,198041
15/10/2020,192.85,201.0,197.72,192.0,202.5,238796
16/10/2020,195.95,194.0,194.69,191.6,196.75,191841
19/10/2020,204.0,196.2,201.65,196.05,204.6,323960
20/10/2020,203.05,201.0,202.74,200.7,204.35,175146
21/10/2020,203.75,204.7,204.08,198.85,207.3,248104
22/10/2020,203.3,201.9,203.1,201.1,204.6,156779
23/10/2020,202.8,204.0,203.2,201.55,205.6,143175
26/10/2020,196.7,202.7,199.33,195.6,204.0,213023
27/10/2020,194.65,197.25,194.96,192.25,197.55,177545
28/10/2020,190.45,195.0,191.54,189.05,195.0,259437
29/10/2020,188.7,189.35,188.17,185.9,190.7,238791
30/10/2020,189.25,189.35,189.11,186.15,192.0,186311
02/11/2020,196.05,192.2,194.16,190.05,197.25,254510
03/11/2020,204.75,198.0,202.38,197.6,205.8,338507
04/11/2020,207.0,203.5,204.28,198.05,209.0,486009
